Expanded Device Code (Hex),Description,Company Name,
1A9E,LWT Guided Wave Radar Level,ABB,
1AA1,LST300,ABB,
1AA2,LLT100,ABB,
1AA3,FSV400/FSS400,ABB,
1D01,B6U,M-System Co.,
1D02,B3HU,M-System Co.,
1D03,27HU,M-System Co.,
1D04,B3HU2,M-System Co.,
1F14,9720,Micro Motion,
1F15,9739 Mass flo,Micro Motion,
1F16,MVD Series 9739,Micro Motion,
1F17,K Series,Micro Motion,
1F1E,9701,Micro Motion,
1F24,MVD Series 2000 Config I/O,Micro Motion,
1F25,MVD Series 1000 Config I/O,Micro Motion,
1F26,MVD Series 2000 IS Output,Micro Motion,
1F27,MVD Series 1000 IS Output,Micro Motion,
1F29,MVD Series 1000 Analog Output,Micro Motion,
1F2A,MVD Series 2000 Analog Output,Micro Motion,
1F34,2400S Mass flo,Micro Motion,
1F3A,2200S Analog,Micro Motion,
1F3D,Density Gas Viscosity Meter,Micro Motion,
1F41,MVD Series 3000,Micro Motion,
1F46,5700A,Micro Motion,
2001,TRZ,Moore Industries,
2003,THZ,Moore Industries,
2004,THZ2,Moore Industries,
2005,HTZ,Moore Industries,
2006,TCM,Moore Industries,
2007,888,Moore Industries,
2008,THZ3/TDZ3,Moore Industries,
2009,STZ,Moore Industries,
2101,340 A,PRIME Measurement Products,
2102,340 B,PRIME Measurement Products,
2103,344,PRIME Measurement Products,
2105,330,PRIME Measurement Products,
2106,340 A2,PRIME Measurement Products,
2108,340 B2,PRIME Measurement Products,
2109,"3,442",PRIME Measurement Products,
210A,340 S,PRIME Measurement Products,
210B,343,PRIME Measurement Products,
210C,760D Valvepac,PRIME Measurement Products,
210D,345,PRIME Measurement Products,
2502,X96 D,Ronan,
2503,X96 L,Ronan,
2504,X96 W,Ronan,
2505,X96 LD,Ronan,
2506,X99 MD,Ronan,
2513,X96SI L,Ronan,
2515,X96SI LD,Ronan,
2601,3051B,Rosemount,
2602,3044 Temp,Rosemount,
2603,1151,Rosemount,
2604,Magmeter,Rosemount,
2605,2001,Rosemount,
2606,3051,Rosemount,
260B,3001L HTG,Rosemount,
260C,Mag HS,Rosemount,
260D,3044C Temp,Rosemount,
260E,3001C HTG,Rosemount,
260F,3051LP,Rosemount,
2610,Vortex,Rosemount,
2611,3201 SAM,Rosemount,
2612,1152,Rosemount,
2613,3202 SAM,Rosemount,
2614,3001S HTG,Rosemount,
2615,3095FT,Rosemount,
2616,3095MV,Rosemount,
2617,544 Temp,Rosemount,
2618,644 Temp,Rosemount,
2619,3144 Temp,Rosemount,
261A,3244 Temp,Rosemount,
261B,3700,Rosemount,
261C,3750,Rosemount,
261D,Tri-Loop,Rosemount,
261E,3095C,Rosemount,
261F,3095MM,Rosemount,
2620,3701,Rosemount,
2621,3300,Rosemount,
2622,3702ASU,Rosemount,
2623,2088 Smart,Rosemount,
2624,ProBar,Rosemount,
2625,Mass ProBar,Rosemount,
2626,ProV,Rosemount,
2627,2090 Smart,Rosemount,
2628,ProBar UC,Rosemount,
2629,2055D,Rosemount,
262A,3095PV,Rosemount,
262D,Sentry,Rosemount,
262F,ProPlate UC,Rosemount,
2636,1810,Rosemount,
2637,8712D,Rosemount,
2638,4600,Rosemount,
263A,8800D,Rosemount,
263B,248 Temperature,Rosemount,
263C,8732,Rosemount,
263F,8600D,Rosemount,
2640,2088LP,Rosemount,
2641,5600 Radar Level,Rosemount,
2642,951,Rosemount,
2643,5400,Rosemount,
2644,3051S SIS,Rosemount,
2645,3144P SIS,Rosemount,
2647,4500,Rosemount,
2649,3051SMV with Fully Compensated Mass and Energy Flow,Rosemount,
264A,3051S Diag,Rosemount,
264B,3051SMV Direct Process Variable Output,Rosemount,
264E,Wireless Gateway,Rosemount,
264F,775 THUM Adapter,Rosemount,
2650,3100,Rosemount,
2651,5300,Rosemount,
2653,848T Wireless,Rosemount,
2655,2051,Rosemount,
2656,2051LP,Rosemount,
2657,8712E,Rosemount,
2658,648 Wireless,Rosemount,
2659,3051S Wireless,Rosemount,
265A,702 Wireless Discrete Transmitter,Rosemount,
265D,2160,Rosemount,
265E,3051S,Rosemount,
2662,Metran-150,Rosemount,
2664,2051 Wireless,Rosemount,
2668,4088 MultiVariable,Rosemount,
266A,3051 Wireless,Rosemount,
266B,3440,Rosemount,
266D,Metran-75,Rosemount,
266E,3308A Wireless Guided Wave Radar Level & Interface Transmitter,Rosemount,
2671,3051S Wireless Pressure Transmitter,Rosemount,
2673,8800D HR7,Rosemount,
2680,Generic,Rosemount,
2700,900 Densitometer,Peek Measurement,
2801,NEXGEN,Actaris Neptune,
2A01,MICRO K,Siemens,
2A02,SITRANS L Level,Siemens,
2A03,SIPAN pH,Siemens,
2A04,SITRANS FUS,Siemens,
2A05,SIPAN LF,Siemens,
2A06,SIPAN O2,Siemens,
2A07,SITRANS LR,Siemens,
2A0A,SITRANS P HS,Siemens,
2A0B,SITRANS P DS,Siemens,
2A0C,SITRANS P ES,Siemens,
2A0D,SITRANS P MS,Siemens,
2A10,SITRANS TW,Siemens,
2A12,SITRANS TK H,Siemens,
2A13,SITRANS TH300,Siemens,
2A15,SIPART PS2,Siemens,
2A16,SITRANS FM,Siemens,
2A17,SITRANS FVA,Siemens,
2A18,SITRANS FM MAGFLO,Siemens,
2A19,SITRANS FC MASSFLO,Siemens,
2A1A,SITRANS FM IT2 / TM2,Siemens,
2A1D,SITRANS P300,Siemens,
2A1F,SITRANS TR300,Siemens,
2A20,SITRANS VP300,Siemens,
2A22,SITRANS FC430,Siemens,
2A23,SITRANS P500,Siemens,
2A24,SITRANS LR560,Siemens,
2A31,SITRANS AW200,Siemens,
2A34,SITRANS LUT400,Siemens,
2A37,SIPART PS2,Siemens,
2C02,AP3100,Toshiba,
2C03,AP3110,Toshiba,
2C04,AP3120,Toshiba,
2C05,AP3140,Toshiba,
2C06,AP3150,Toshiba,
2C07,AP3170,Toshiba,
2C08,AP3180,Toshiba,
2C09,AP3190,Toshiba,
2C0A,LF Series,Toshiba,
2E06,2081 pH,Rosemount Analytic,
2E07,2081 Cond,Rosemount Analytic,
2E0A,2054 pH,Rosemount Analytic,
2E0B,2054 Cond,Rosemount Analytic,
2E0C,Oxymitter 4000,Rosemount Analytic,
2E0D,WC_3000,Rosemount Analytic,
2E0E,3081FG,Rosemount Analytic,
2E0F,OPM-2000R,Rosemount Analytic,
2E10,OCX-4000,Rosemount Analytic,
2E14,3081pH,Rosemount Analytic,
2E15,3081C,Rosemount Analytic,
2E16,3081-81con,Rosemount Analytic,
2E17,3081-81T,Rosemount Analytic,
2E18,5081A,Rosemount Analytic,
2E19,5081C/T,Rosemount Analytic,
2E1A,5081pH,Rosemount Analytic,
2E1B,Xmt A,Rosemount Analytic,
2E1C,Xmt C/T,Rosemount Analytic,
2E1D,Xmt pH,Rosemount Analytic,
2E1E,5081FG,Rosemount Analytic,
2E1F,6081-P Wireless pH/ORP,Rosemount Analytic,
2E20,6081-C Wireless Conductivity,Rosemount Analytic,
2E21,1066,Rosemount Analytic,
2E2B,XS-O2,Rosemount Analytic,
2E3A,6888-O2,Rosemount Analytic,
2E50,54pH/ORP,Rosemount Analytic,
2E51,54eC,Rosemount Analytic,
2E52,52epH/ORP,Rosemount Analytic,
2E53,54eA,Rosemount Analytic,
2E55,1056,Rosemount Analytic,
2E56,Model 56,Rosemount Analytic,
2F01,PSMART,Metso Automation,
2F3C,SMARTPULP,Metso Automation,
2F3D,SMARTLX,Metso Automation,
2F3E,MCAi,Metso Automation,
2F3F,SMARTLC,Metso Automation,
2F40,MCA,Metso Automation,
3001,Logix 12xx,Flowserve,
3002,K\8Ammer C2100,Flowserve,
3003,Logix 520,Flowserve,
3004,Logix3200-IQ,Flowserve,
3005,Logix3200MD,Flowserve,
3006,Logix520MD,Flowserve,
3007,Logix MD+,Flowserve,
3008,Limitorque MX QX,Flowserve,
3009,Logix 420,Flowserve,
3201,970,Viatran,
3202,Trim,Viatran,
322E,I/A Pressure,Viatran,
3601,MagneW,Azbil Corporation (Former Yamatake Corporation),
3602,ST3000,Azbil Corporation (Former Yamatake Corporation),
3603,SVP,Azbil Corporation (Former Yamatake Corporation),
3604,ThermoPlus ATT,Azbil Corporation (Former Yamatake Corporation),
3605,PTG,Azbil Corporation (Former Yamatake Corporation),
3608,MagneW 2W,Azbil Corporation (Former Yamatake Corporation),
360C,MAGNEW4W,Azbil Corporation (Former Yamatake Corporation),
360D,AT9000,Azbil Corporation (Former Yamatake Corporation),
360E,GASCVD,Azbil Corporation (Former Yamatake Corporation),
360F,AVP700,Azbil Corporation (Former Yamatake Corporation),
3610,AVP700-SIS,Azbil Corporation (Former Yamatake Corporation),
3614,SVP-V2,Azbil Corporation (Former Yamatake Corporation),
3615,ATT082,Azbil Corporation (Former Yamatake Corporation),
3616,ATT162,Azbil Corporation (Former Yamatake Corporation),
3701,YEWFLO,Yokogawa,
3702,YT200,Yokogawa,
3703,UNICOM,Yokogawa,
3704,EJA,Yokogawa,
3705,ADMAG AE,Yokogawa,
3706,AM11,Yokogawa,
3708,ADMAG SE,Yokogawa,
3709,YTA,Yokogawa,
370A,YTA70E,Yokogawa,
370B,DYF,Yokogawa,
370C,ZR202,Yokogawa,
370D,ZR402,Yokogawa,
3714,ISC202,Yokogawa,
3715,PH202,Yokogawa,
3716,SC202,Yokogawa,
3718,DO202,Yokogawa,
3727,PH150,Yokogawa,
3728,SC150,Yokogawa,
372B,PH450,Yokogawa,
372C,SC450,Yokogawa,
372D,ISC450,Yokogawa,
373C,YTA70E/Z,Yokogawa,
373D,YTA70-J,Yokogawa,
373E,TDLS8000,Yokogawa,
373F,YTA70P,Yokogawa,
3740,ROTAMASS,Yokogawa,
3741,RAMC,Yokogawa,
3742,RCCT_F3,Yokogawa,
3750,AXFA11,Yokogawa,
3751,EJX,Yokogawa,
3752,AXFA14,Yokogawa,
3753,AV550G,Yokogawa,
3754,EJX-MV,Yokogawa,
3757,AXR,Yokogawa,
3758,FLXA21/202-PH,Yokogawa,
3759,FLXA21/202-SC,Yokogawa,
375A,FLXA21/202-ISC,Yokogawa,
375B,FLXA21/202-DO,Yokogawa,
375C,EJA-NEXT,Yokogawa,
375D,EJA-NEXT-LP,Yokogawa,
3760,ROTAMASS TI,Yokogawa,
3B13,4301,Mobrey,
3B14,3301,Mobrey,
3B15,MSP100,Mobrey,
3B21,3300,Mobrey,
3B29,MLT100,Mobrey,
3B2A,4291,Mobrey,
3B2B,MSM400,Mobrey,
3B2C,MSL600,Mobrey,
3B2D,MCU900,Mobrey,
3B2E,MSP900/400,Mobrey,
3B2F,MRL700,Mobrey,
3B30,MRL800,Mobrey,
3B31,MRL850,Mobrey,
3D01,L4610,Princo,
3E01,LD301,Smar,
3E02,TT301,Smar,
3E03,FY301,Smar,
3E04,LD291,Smar,
3E05,TP301,Smar,
3E06,DT301,Smar,
3E09,TT400,Smar,
3E0A,LD400,Smar,
3F01,TSV175,FOXBORO ECKARDT,
3F02,DMU130,FOXBORO ECKARDT,
3F03,TI/RTT20,FOXBORO ECKARDT,
3F04,SRD991,FOXBORO ECKARDT,
3F05,DMU140,FOXBORO ECKARDT,
3F06,SRD960,FOXBORO ECKARDT,
3FD0,LR01,FOXBORO ECKARDT,
3FD7,LG01,FOXBORO ECKARDT,
4015,MTL4841 Multiplexer,Measurement Technology,
4022,MTL8512 Multiplexer,Measurement Technology,
42EC,TROVIS SAFE 3793,Samson,
42ED,TROVIS 3793,Samson,
42EE,373X-6,Samson,
42EF,373X-3,Samson,
42F9,3780,Samson,
43EE,FM6XX,Sparling Instruments,
45B0,OPTISWIRL 5080,Krohne,
45BA,ESK3x,Krohne,
45BB,MFC 400 S,Krohne,
45BC,OPTIBAR 5060 SIL,Krohne,
45BD,OPTIBAR 7060 SIL,Krohne,
45BF,OPTIWAVE 1010,Krohne,
45C0,OPTIWAVE 7400-80,Krohne,
45C1,OPTIWAVE 7400-24,Krohne,
45C2,SMARTPAT COND,Krohne,
45C3,SMARTSENS ORP,Krohne,
45C4,OPTIBAR P 5060 C,Krohne,
45C5,OPTIBAR DP 7060 C,Krohne,
45C6,SMARTSENS PH,Krohne,
45C7,TT 52 C/R (Ex),Krohne,
45C8,OPTIBAR DP 70XX F,Krohne,
45C9,OPTIBAR P 50/60XX F,Krohne,
45CA,TFC 100,Krohne,
45CB,IFC 050,Krohne,
45CC,MFC 400,Krohne,
45CD,OPTISWIRL 4200,Krohne,
45CE,OPTILEVEL 1100,Krohne,
45CF,MAC100,Krohne,
45D0,Optiwave 5200 C/F,Krohne,
45D1,OPTIBAR P X050 C,Krohne,
45D2,UFC 400,Krohne,
45D3,TT51C/R,Krohne,
45D4,GFC 300 Steam,Krohne,
45D5,GFC 300 Gas,Krohne,
45D6,ESK4,Krohne,
45D7,OPTIFLEX 2200,Krohne,
45D9,IFC 100,Krohne,
45DB,TT50C/R,Krohne,
45DD,MFC 300,Krohne,
45DE,VFC 070,Krohne,
45E2,ESK2A,Krohne,
45E3,IFC 300,Krohne,
45E4,Optiflex 1300C,Krohne,
45E5,Optiwave 7300C,Krohne,
45E6,M8E,Krohne,
45E7,UFC030,Krohne,
45E8,MFC05x,Krohne,
45E9,IFC040,Krohne,
45EA,M10,Krohne,
45EB,IFC210,Krohne,
45EC,BM102,Krohne,
45ED,VFM31,Krohne,
45EE,BM100,Krohne,
45EF,IFC020,Krohne,
45F0,VFM1091,Krohne,
45F2,ESKII,Krohne,
45F3,IFC110,Krohne,
45F4,IFC090,Krohne,
45F5,UFC500,Krohne,
45F6,IFC010,Krohne,
45F7,MFC08x,Krohne,
45F8,IFC080,Krohne,
45F9,BM70,Krohne,
47E9,RTX1000H Gauge,Druck,
47EC,RTX1000H SG,Druck,
47EF,RTX1000H ABS,Druck,
4800,815 Series,SOR,
49EB,AO895,Elcon Instruments,
49EC,AI895,Elcon Instruments,
49ED,Mux 2700-F,Elcon Instruments,
49EE,Mux 2700-E,Elcon Instruments,
4D01,ICOT,Westlock Controls,
4D02,SmartCal,Westlock Controls,
4D03,D-EPIC,Westlock Controls,
4D04,D-EPIC ESD,Westlock Controls,
4D05,Digital EPIC-2,Westlock Controls,
4E02,UNIVERSAL III,Drexelbrook,
4EEB,USonic,Drexelbrook,
4EEC,DR2000,Drexelbrook,
4EED,DR5200,Drexelbrook,
4FED,5600,Rosemount Tank Radar,
4FEF,TankRadarPro,Rosemount Tank Radar,
5067,SPM100 Level,K-TEK,
5072,AT100/200 Lvl Vol LCD,K-TEK,
5073,AT100/200 2Lvl Vol LCD,K-TEK,
5076,AT100/200 Lvl Temp Vol LCD,K-TEK,
5077,AT100/200 2Lvl Temp Vol LCD,K-TEK,
5078,AT100/200 Lvl,K-TEK,
507A,AT100/200 Lvl LCD,K-TEK,
507B,AT100/200 2Lvl LCD,K-TEK,
507E,AT100/200 Lvl Temp LCD,K-TEK,
507F,AT100/200 2Lvl Temp LCD,K-TEK,
5098,MT2000 Microwave Level,K-TEK,
50AA,MT5000,K-TEK,
50AB,MT5100,K-TEK,
50BA,MT5200,K-TEK,
50C2,SS140XP,K-TEK,
50CB,SPM200 Level,K-TEK,
52E7,Polytron 8000 REGARD 1.4,Draeger,
52E8,Polytron 8000,Draeger,
52E9,PIR 7000,Draeger,
52EB,Polytron 7000,Draeger,
52ED,Polytron2 IR,Draeger,
52EE,PIR 7x00,Draeger,
52EF,Pulsar 77x0,Draeger,
52F7,Polytron2,Draeger,
54F8,MSP2002,Siemens Milltronics PI,
54F9,MST9500,Siemens Milltronics PI,
55DE,HCM-8000,BTG,
56DE,Model R96 Pulsar\A8 Pulse Burst Radar Level Transmitter,Magnetrol,
56DF,Jupiter Model JM4,Magnetrol,
56E0,Model 706,Magnetrol,
56E1,Model TA2 2.x,Magnetrol,
56E2,Model R82,Magnetrol,
56E3,E3 Modulevel,Magnetrol,
56E4,Model 355,Magnetrol,
56E5,Model 705 3.x,Magnetrol,
56E6,Model RX5,Magnetrol,
56E7,Model 704,Magnetrol,
56E8,Jupiter,Magnetrol,
56E9,Model TA2,Magnetrol,
56EA,Model 707,Magnetrol,
56EB,Model 705 2.x,Magnetrol,
56EC,Model 708,Magnetrol,
56ED,Model 805,Magnetrol,
56EE,Model 705,Magnetrol,
56EF,SMARTEZ,Magnetrol,
57A2,NDX H6,Metso Flow Control Inc,
57A3,NDX H7,Metso Flow Control Inc,
57D5,SG9000H,Metso Automation,
57D9,VG9000H,Metso Automation,
57DE,ND7000H,Metso Automation,
57E4,ND9100HT,Metso Automation,
57E5,ND9100H,Metso Automation,
57EB,ValvGuard,Metso Automation,
57EE,ND820/T,Metso Automation,
57EF,ND820,Metso Automation,
58C8,86x PROBE,Siemens Milltronics PI,
58C9,SITRANS LR300,Siemens Milltronics PI,
58CA,LR 200,Siemens Milltronics PI,
58CC,SITRANS LR400,Siemens Milltronics PI,
58CD,Sitrans Probe LU 6m,Siemens Milltronics PI,
58CE,Sitrans Probe LU 12m,Siemens Milltronics PI,
58CF,Probe LR,Siemens Milltronics PI,
58D1,SITRANS LR250,Siemens Milltronics PI,
58D3,SITRANS LR460,Siemens Milltronics PI,
58D4,SITRANS LR260,Siemens Milltronics PI,
58D6,SITRANS LR200,Siemens Milltronics PI,
5AC8,ANDRSN1,Anderson Instrument Company,
5BEA,IPAQ C510/R510 (X),INOR,
5BEB,C520/R520,INOR,
5BEF,MESO,INOR,
5CC8,Excalibur 7000,ROBERTSHAW,
5DD5,WHA-DIO T,PEPPERL+FUCHS,
5DD6,WHA-DIO SD,PEPPERL+FUCHS,
5DD7,WHA-DIO R,PEPPERL+FUCHS,
5DD8,WHA-DI,PEPPERL+FUCHS,
5DD9,Pulscon LTC 5 x,PEPPERL+FUCHS,
5DDA,xPurge 6500,PEPPERL+FUCHS,
5DDB,KCD2-UT3,PEPPERL+FUCHS,
5DDC,WHA-GW EIP,PEPPERL+FUCHS,
5DDD,LHCS-51 & LHCR-51,PEPPERL+FUCHS,
5DDE,PPC-M51 & LHC-M51,PEPPERL+FUCHS,
5DDF,P+F PD3500DM,PEPPERL+FUCHS,
5DE0,WHA-GW,PEPPERL+FUCHS,
5DE1,WHA-ADP,PEPPERL+FUCHS,
5DE2,WHA-UT,PEPPERL+FUCHS,
5DE3,WHA-RPT,PEPPERL+FUCHS,
5DE4,CorrTran,PEPPERL+FUCHS,
5DE5,LUC M,PEPPERL+FUCHS,
5DE6,MUX2700-G,PEPPERL+FUCHS,
5DE7,RSD-UO-Ex8.H,PEPPERL+FUCHS,
5DE8,RSD-CI-Ex8.H,PEPPERL+FUCHS,
5DE9,KSD2-GW2-PRO,PEPPERL+FUCHS,
5DEA,BARCON M,PEPPERL+FUCHS,
5DEB,LUC+,PEPPERL+FUCHS,
5DEC,PULSCON+,PEPPERL+FUCHS,
5DED,PULSCON,PEPPERL+FUCHS,
5DEE,BARCON,PEPPERL+FUCHS,
5DEF,KFD2-HMM-16,PEPPERL+FUCHS,
5EEE,PRESS/DP XMTR,ACCUTECH,
5EEF,AI1500,ACCUTECH,
60EC,CombiLyz,Baumer,
60ED,FLEXBAR 3501,Baumer,
60EE,FLEXBAR HRT,Baumer,
60EF,FLEXTOP HRT,Baumer,
